
---------- Begin Simulation Statistics ----------
simSeconds                                   0.055933                       # Number of seconds simulated (Second)
simTicks                                  55932586500                       # Number of ticks simulated (Tick)
finalTick                                 55932586500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1025.81                       # Real time elapsed on the host (Second)
hostTickRate                                 54525148                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     655976                       # Number of bytes of host memory used (Byte)
simInsts                                    191083655                       # Number of instructions simulated (Count)
simOps                                      408634013                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186275                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     398351                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        111865174                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       408896254                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       21                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      409502064                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2068                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               262136                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            316736                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           111781863                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               3.663403                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              2.324965                       # Number of insts issued each cycle
system.cpu.statFuBusy::MemRead                1359271     24.98%     75.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                676955     12.44%     87.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead            679586     12.49%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite              203      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass     12914464      3.15%      3.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu     288468177     70.44%     73.60% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult       679431      0.17%     73.76% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv       4757320      1.16%     74.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd          623      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp            0      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt           32      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult            0      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     74.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd      2718032      0.66%     75.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     75.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu      2719062      0.66%     76.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp            0      0.00%     76.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt      5436440      1.33%     77.58% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc      2718730      0.66%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift          433      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     78.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead     37430858      9.14%     87.39% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite     37386199      9.13%     96.51% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead     10193743      2.49%     99.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite      4078520      1.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      409502064                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         3.660675                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             5442490                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.013291                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                879818578                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               381961228                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       381616890                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  56411968                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                 27198268                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses         27185780                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   373484208                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                     28545882                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                          5944                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                          94803                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                         4957                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                  408896275                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                      300                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                     46950673                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                    41471566                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                        21                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                           943                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                         3617                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents               1086                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect               1915                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect            3927                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                     5842                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                         409489276                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                      47620910                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     12785                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           89084498                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       40137625                       # Number of branches executed (Count)
system.cpu.numStoreInsts                     41463588                       # Number of stores executed (Count)
system.cpu.numRate                           3.660561                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                    408805144                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                   408802670                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                     270772216                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                     480943540                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            3.654423                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.563002                       # Average fanout of values written-back ((Count/Count))
system.cpu.emptyCycles                         770150                       # Number of cycles where ShadowBuffer is empty (Cycle)
system.cpu.activeCycles                     111011713                       # Number of cycles where ShadowBuffer is not empty (Cycle)
system.cpu.branchesInserted                  40152095                       # Number of branches inserted into ShadowBuffer (Count)
system.cpu.branchesCleared                   40129111                       # Number of branches cleared from ShadowBuffer (not mispredicted) (Count)
system.cpu.timesMispredicted                     4479                       # Number of times mispredicts have been handled (Count)
system.cpu.entriesSquashed                      23248                       # Number of entries squashed due to mispredicts (Count)
system.cpu.loadsSquashed                        19000                       # Number of loads squashed due to mispredicts (Count)
system.cpu.loadsInserted                     46265197                       # Number of entries inserted into ReleaseQueue (Count)
system.cpu.loadsCleared                      43509479                       # Number of entries cleared from ReleaseQueue (Count)
system.cpu.abnormalBranches                      2718                       # Number of branches not cleared by misprediction or step (Count)
system.cpu.abnormalLoads                      2736698                       # Number of loads not cleared by misprediction or step (Count)
system.cpu.timesIdled                             921                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           83311                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   191083655                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     408634013                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.585425                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.585425                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.708160                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.708160                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  587007913                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 304774316                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                    36700508                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                   20389423                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                   177577593                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                   81703179                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 170732078                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       18                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads       46950673                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      41471566                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      6113778                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       683218                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                40845794                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          17728993                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           1363787                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups             21093810                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                21091904                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999910                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                 9514308                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  2                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups          680757                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             679622                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1135                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          300                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          260498                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              18                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              4892                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    111744405                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     3.656863                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     3.250615                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0        21289947     19.05%     19.05% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1        21772225     19.48%     38.54% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2        14956934     13.38%     51.92% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3         9535479      8.53%     60.45% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4         2721857      2.44%     62.89% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5         3401489      3.04%     65.93% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6         2041519      1.83%     67.76% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7            2144      0.00%     67.76% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8        36022811     32.24%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total    111744405                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted            191083655                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted              408634013                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                    88374346                       # Number of memory references committed (Count)
system.cpu.commit.loads                      46918571                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                   40122995                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                   27182228                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                   384170319                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls               9512269                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass     12910567      3.16%      3.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu    288320762     70.56%     73.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult       679421      0.17%     73.88% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv      4757178      1.16%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          391      0.00%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt           32      0.00%     75.05% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     75.05% # Class of committed instruction (Count)
